clase,mes,p_base_mean,p_opt_mean,delta_price_mean,revenue_base,revenue_opt,delta_revenue_pct
03CARN     ,2025-07,7.0773,7.6651,8.6306,1077319.36,1155532.37,7.26
03CARN     ,2025-08,7.3241,7.9436,8.6024,1155655.07,1237886.57,7.1156
03CARN     ,2025-09,7.782,8.4661,8.8454,1181160.61,1270107.02,7.5304
03CARN     ,2025-10,8.5196,9.2935,9.5463,1222171.08,1306915.82,6.934
03CARN     ,2025-11,8.298,9.0314,9.2186,1131678.58,1205878.87,6.5567
03CARN     ,2025-12,8.3994,9.1435,9.2864,1297655.0,1385831.31,6.7951
05CHAR     ,2025-07,9.8575,10.6842,9.3702,603032.94,655860.05,8.7602
05CHAR     ,2025-08,10.0908,10.9567,9.3923,649546.5,701856.03,8.0532
05CHAR     ,2025-09,10.501,11.4232,9.6161,686226.03,740135.08,7.8559
05CHAR     ,2025-10,11.2466,12.227,9.4955,723225.55,778783.73,7.682
05CHAR     ,2025-11,11.5413,12.5433,9.4555,710855.36,762110.74,7.2104
05CHAR     ,2025-12,11.4762,12.4644,9.4801,758847.06,814311.54,7.309
08FRUV     ,2025-07,5.9407,6.5671,13.7148,684136.86,777500.53,13.6469
08FRUV     ,2025-08,6.0181,6.6486,13.8954,703324.13,796672.05,13.2724
08FRUV     ,2025-09,6.2232,6.8664,12.5306,670912.43,752994.08,12.2343
08FRUV     ,2025-10,6.6913,7.3782,11.8913,682751.45,764652.61,11.9958
08FRUV     ,2025-11,6.6975,7.3859,12.4513,669426.36,755704.19,12.8883
08FRUV     ,2025-12,6.6783,7.3695,13.0112,754491.05,842474.21,11.6613
