producto_id,clase,margin_base,margin_opt,revenue_base,revenue_opt,p_base_mean,p_opt_mean,n_days,margin_gap,margin_gap_pct
0802010026,08FRUV     ,-157798.85,10632.41,46204.55,190909.37,10.4,14.09,1744,168431.26,1684312600.0
0309020005,03CARN     ,741368.73,872720.48,1707929.67,1829128.46,10.31,11.13,1188,131351.75,17.72
0304010008,03CARN     ,751001.03,853577.98,1336104.82,1428478.01,7.6,8.26,1296,102576.95,13.66
0308010001,03CARN     ,195588.69,295631.49,1070597.23,1165240.21,2.98,3.26,1188,100042.8,51.15
0301020010,03CARN     ,-4291.87,89744.02,883970.39,967809.09,3.35,3.73,1576,94035.89,940358900.0
0309020020,03CARN     ,277223.8,363635.01,962313.77,1042900.75,7.77,8.5,1187,86411.21,31.17
0801010007,08FRUV     ,-72087.98,9170.47,46139.0,113476.66,11.1,14.02,1883,81258.45,812584500.0
0304010035,03CARN     ,292580.17,361704.33,772082.41,833189.0,5.78,6.35,1293,69124.16,23.63
0803010032,08FRUV     ,2153.6,70129.58,212148.27,274466.6,2.45,2.86,1948,67975.98,3156.39
0308020003,03CARN     ,173331.47,237764.19,685915.44,746005.66,3.75,4.13,1188,64432.72,37.17
0308050006,03CARN     ,176613.48,240922.93,717190.46,777545.7,7.33,8.01,1188,64309.45,36.41
0509060001,05CHAR     ,130947.97,194822.67,699453.08,757014.47,6.16,6.75,1188,63874.7,48.78
0301020003,03CARN     ,183340.05,239601.73,454110.55,505256.85,5.41,6.32,2421,56261.68,30.69
0802050003,08FRUV     ,75320.97,129081.58,521028.32,575996.76,1.39,1.53,1188,53760.61,71.38
0511050016,05CHAR     ,131545.59,184442.91,610040.06,653100.07,5.44,5.95,1286,52897.32,40.21
0309020007,03CARN     ,-25963.91,24428.99,270146.23,315764.07,4.93,5.77,1174,50392.9,503929000.0
0804010003,08FRUV     ,70728.3,119726.11,476450.22,527267.17,1.38,1.52,1296,48997.81,69.28
0806010011,08FRUV     ,128373.45,175882.23,498027.45,543312.87,1.85,2.04,1188,47508.78,37.01
0802020012,08FRUV     ,184233.7,230458.38,502182.54,544986.94,2.3,2.52,1188,46224.68,25.09
0806030003,08FRUV     ,140954.32,186867.58,486392.55,530699.92,1.95,2.14,1296,45913.26,32.57
0302020001,03CARN     ,149711.65,192913.06,489915.23,527946.71,6.54,7.16,1083,43201.41,28.86
0509130025,05CHAR     ,130379.21,173215.42,596160.89,633399.84,6.99,7.53,2475,42836.21,32.86
0806010002,08FRUV     ,10477.62,52317.23,135280.94,173096.15,4.99,6.0,2507,41839.61,399.32
0801020002,08FRUV     ,60822.48,100874.57,225427.3,262681.68,3.3,3.79,1274,40052.09,65.85
0301040001,03CARN     ,159611.63,198717.92,453478.36,487148.12,8.32,9.1,1183,39106.29,24.5
0803010043,08FRUV     ,109132.01,146287.58,376370.68,412814.4,1.7,1.88,1295,37155.57,34.05
0509060004,05CHAR     ,78661.64,115001.87,417760.89,452863.08,6.1,6.64,1184,36340.23,46.2
0802010020,08FRUV     ,-26488.2,9594.33,65077.41,97422.7,2.97,3.68,1638,36082.53,360825300.0
0802010017,08FRUV     ,-23122.23,12361.72,69047.31,105805.43,3.37,3.92,2142,35483.95,354839500.0
0303010007,03CARN     ,103420.17,138155.03,414331.96,441882.84,6.51,7.11,1277,34734.86,33.59
0802010002,08FRUV     ,111388.65,145782.84,308646.13,340174.89,3.36,3.76,1184,34394.19,30.88
0301020006,03CARN     ,98048.81,131963.8,377516.47,407286.43,3.25,3.56,1298,33914.99,34.59
0308050008,03CARN     ,143797.5,176345.26,409795.47,438055.84,8.56,9.31,1188,32547.76,22.63
0301020014,03CARN     ,135115.57,166717.31,365149.86,394002.51,7.64,8.34,1284,31601.74,23.39
0508010001,05CHAR     ,-29438.72,229.94,47880.48,71375.18,4.04,6.29,1217,29668.66,296686600.0
0806010004,08FRUV     ,111579.98,140478.59,259814.67,287895.26,1.04,1.19,2512,28898.61,25.9
0302010002,03CARN     ,87301.24,114563.16,338342.74,361718.48,6.99,7.57,1274,27261.92,31.23
0308020001,03CARN     ,61030.37,86780.82,270414.97,295018.59,4.28,4.7,1159,25750.45,42.19
0802010030,08FRUV     ,-15678.91,9008.65,29987.27,52880.87,9.98,12.89,2012,24687.56,246875600.0
0806010006,08FRUV     ,79723.0,104091.54,260901.0,283619.24,1.53,1.68,1188,24368.54,30.57
0802010015,08FRUV     ,-11664.44,10949.99,75931.93,95818.39,5.01,5.86,1603,22614.43,226144300.0
0304010033,03CARN     ,181139.47,203721.08,326052.77,345814.77,7.63,8.24,1295,22581.61,12.47
0509060008,05CHAR     ,53379.31,75607.23,281494.06,304169.29,9.58,10.33,1184,22227.92,41.64
0309020017,03CARN     ,178545.53,199683.4,344270.9,365539.76,11.5,12.26,1183,21137.87,11.84
0802010012,08FRUV     ,55289.54,75954.11,193340.94,212818.68,1.9,2.11,1188,20664.57,37.38
0802050001,08FRUV     ,58591.38,79251.79,215317.39,235110.69,1.02,1.12,1188,20660.41,35.26
0804010001,08FRUV     ,50533.99,70972.63,210357.35,229445.94,1.05,1.16,1296,20438.64,40.45
0801040002,08FRUV     ,53942.49,74108.09,178668.52,198417.79,1.96,2.17,1292,20165.6,37.38
0309020011,03CARN     ,120351.18,140257.77,263989.1,282645.31,10.27,11.13,1181,19906.59,16.54
0803010028,08FRUV     ,12600.12,32313.58,73968.22,92620.05,1.52,1.81,2511,19713.46,156.45
